REPORT_DATE,WARD,LIVES_LOST,POSITIVE_CASES,TOTAL_TESTS,LOAD_TIME,OBJECTID
2020/03/31 04:00:00+00,Ward 1,,65,,2021/01/20 16:15:05+00,1
2020/04/01 04:00:00+00,Ward 1,,75,,2021/01/20 16:15:05+00,2
2020/04/02 04:00:00+00,Ward 1,,84,,2021/01/20 16:15:05+00,3
2020/04/03 04:00:00+00,Ward 1,,100,,2021/01/20 16:15:05+00,4
2020/04/04 04:00:00+00,Ward 1,,107,,2021/01/20 16:15:05+00,5
2020/04/05 04:00:00+00,Ward 1,,119,,2021/01/20 16:15:05+00,6
2020/04/06 04:00:00+00,Ward 1,,135,,2021/01/20 16:15:05+00,7
2020/04/07 04:00:00+00,Ward 1,,160,,2021/01/20 16:15:05+00,8
2020/04/08 04:00:00+00,Ward 1,,172,,2021/01/20 16:15:05+00,9
2020/04/09 04:00:00+00,Ward 1,,183,,2021/01/20 16:15:05+00,10
2020/04/10 04:00:00+00,Ward 1,,202,,2021/01/20 16:15:05+00,11
2020/04/11 04:00:00+00,Ward 1,,218,,2021/01/20 16:15:05+00,12
2020/04/12 04:00:00+00,Ward 1,,223,,2021/01/20 16:15:05+00,13
2020/04/13 04:00:00+00,Ward 1,,230,,2021/01/20 16:15:05+00,14
2020/04/14 04:00:00+00,Ward 1,,243,,2021/01/20 16:15:05+00,15
2020/04/15 04:00:00+00,Ward 1,,264,,2021/01/20 16:15:05+00,16
2020/04/16 04:00:00+00,Ward 1,,282,,2021/01/20 16:15:05+00,17
2020/04/17 04:00:00+00,Ward 1,,309,,2021/01/20 16:15:05+00,18
2020/04/18 04:00:00+00,Ward 1,,330,,2021/01/20 16:15:05+00,19
2020/04/19 04:00:00+00,Ward 1,6,344,,2021/01/20 16:15:05+00,20
2020/04/20 04:00:00+00,Ward 1,6,355,,2021/01/20 16:15:05+00,21
2020/04/21 04:00:00+00,Ward 1,6,359,,2021/01/20 16:15:05+00,22
2020/04/22 04:00:00+00,Ward 1,8,376,,2021/01/20 16:15:05+00,23
2020/04/23 04:00:00+00,Ward 1,8,403,,2021/01/20 16:15:05+00,24
2020/04/24 04:00:00+00,Ward 1,11,427,,2021/01/20 16:15:05+00,25
2020/04/25 04:00:00+00,Ward 1,11,444,,2021/01/20 16:15:05+00,26
2020/04/26 04:00:00+00,Ward 1,11,450,,2021/01/20 16:15:05+00,27
2020/04/27 04:00:00+00,Ward 1,12,475,,2021/01/20 16:15:05+00,28
2020/04/28 04:00:00+00,Ward 1,17,503,,2021/01/20 16:15:05+00,29
2020/04/29 04:00:00+00,Ward 1,21,543,,2021/01/20 16:15:05+00,30
2020/04/30 04:00:00+00,Ward 1,21,593,,2021/01/20 16:15:05+00,31
2020/05/01 04:00:00+00,Ward 1,21,621,,2021/01/20 16:15:05+00,32
