Date,Ward_1_Cases,Ward_2_Cases,Ward_3_Cases,Ward_4_Cases,Ward_5_Cases,Ward_6_Cases,Ward_7_Cases,Ward_8_Cases,Max_Temp,Avg_Temp,Min_Temp,Ward_1_Cases_2M_Avg,Ward_1_Cases_1M_Avg,Ward_2_Cases_2M_Avg,Ward_2_Cases_1M_Avg,Ward_3_Cases_2M_Avg,Ward_3_Cases_1M_Avg,Ward_4_Cases_2M_Avg,Ward_4_Cases_1M_Avg,Ward_5_Cases_2M_Avg,Ward_5_Cases_1M_Avg,Ward_6_Cases_2M_Avg,Ward_6_Cases_1M_Avg,Ward_7_Cases_2M_Avg,Ward_7_Cases_1M_Avg,Ward_8_Cases_2M_Avg,Ward_8_Cases_1M_Avg,Ward_1_Cases_Shift_M,Ward_1_Cases_Shift_2W,Ward_2_Cases_Shift_M,Ward_2_Cases_Shift_2W,Ward_3_Cases_Shift_M,Ward_3_Cases_Shift_2W,Ward_4_Cases_Shift_M,Ward_4_Cases_Shift_2W,Ward_5_Cases_Shift_M,Ward_5_Cases_Shift_2W,Ward_6_Cases_Shift_M,Ward_6_Cases_Shift_2W,Ward_7_Cases_Shift_M,Ward_7_Cases_Shift_2W,Ward_8_Cases_Shift_M,Ward_8_Cases_Shift_2W
2020-04-01,10.0,13.0,3.0,11.0,7.0,11.0,6.0,7.0,56.0,47.6,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,9.0,6.0,4.0,12.0,15.0,18.0,17.0,7.0,63.0,54.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,16.0,13.0,2.0,27.0,24.0,24.0,21.0,18.0,67.0,56.8,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,7.0,0.0,4.0,10.0,4.0,2.0,13.0,25.0,59.0,54.4,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,12.0,15.0,6.0,23.0,10.0,31.0,21.0,7.0,68.0,57.1,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,16.0,10.0,6.0,17.0,14.0,15.0,16.0,20.0,71.0,62.3,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,25.0,17.0,9.0,38.0,29.0,33.0,32.0,40.0,71.0,61.1,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,12.0,3.0,9.0,21.0,19.0,6.0,33.0,10.0,78.0,66.3,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,11.0,8.0,15.0,23.0,12.0,14.0,19.0,14.0,73.0,59.6,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10,19.0,6.0,11.0,21.0,21.0,11.0,28.0,10.0,53.0,47.3,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,16.0,9.0,4.0,15.0,19.0,15.0,18.0,16.0,63.0,51.8,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,5.0,20.0,3.0,9.0,7.0,7.0,8.0,10.0,72.0,58.6,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,7.0,2.0,3.0,14.0,5.0,2.0,4.0,9.0,80.0,65.5,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,13.0,1.0,12.0,35.0,16.0,8.0,26.0,22.0,59.0,51.8,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,21.0,10.0,8.0,28.0,33.0,15.0,39.0,34.0,53.0,44.1,38.0,,,,,,,,,,,,,,,,,,10.0,,13.0,,3.0,,11.0,,7.0,,11.0,,6.0,,7.0
2020-04-16,18.0,14.0,7.0,34.0,17.0,24.0,21.0,23.0,54.0,47.4,42.0,,,,,,,,,,,,,,,,,,9.0,,6.0,,4.0,,12.0,,15.0,,18.0,,17.0,,7.0
2020-04-17,27.0,8.0,29.0,36.0,22.0,16.0,20.0,23.0,58.0,50.0,39.0,,,,,,,,,,,,,,,,,,16.0,,13.0,,2.0,,27.0,,24.0,,24.0,,21.0,,18.0
2020-04-18,21.0,3.0,6.0,18.0,13.0,2.0,38.0,15.0,55.0,50.4,46.0,,,,,,,,,,,,,,,,,,7.0,,0.0,,4.0,,10.0,,4.0,,2.0,,13.0,,25.0
