Date,Ward_1_Cases,Ward_1_Cases_3D_Avg,Ward_1_Cases_1W_Avg,Ward_1_Cases_2W_Avg,Ward_2_Cases,Ward_2_Cases_3D_Avg,Ward_2_Cases_1W_Avg,Ward_2_Cases_2W_Avg,Ward_3_Cases,Ward_3_Cases_3D_Avg,Ward_3_Cases_1W_Avg,Ward_3_Cases_2W_Avg,Ward_4_Cases,Ward_4_Cases_3D_Avg,Ward_4_Cases_1W_Avg,Ward_4_Cases_2W_Avg,Ward_5_Cases,Ward_5_Cases_3D_Avg,Ward_5_Cases_1W_Avg,Ward_5_Cases_2W_Avg,Ward_6_Cases,Ward_6_Cases_3D_Avg,Ward_6_Cases_1W_Avg,Ward_6_Cases_2W_Avg,Ward_7_Cases,Ward_7_Cases_3D_Avg,Ward_7_Cases_1W_Avg,Ward_7_Cases_2W_Avg,Ward_8_Cases,Ward_8_Cases_3D_Avg,Ward_8_Cases_1W_Avg,Ward_8_Cases_2W_Avg
2020-04-13,230.0,223.66666666666666,198.28571428571428,148.07142857142858,182.0,174.0,155.57142857142858,122.07142857142857,149.0,146.0,131.71428571428572,106.28571428571429,326.0,313.6666666666667,280.42857142857144,206.07142857142858,262.0,256.3333333333333,226.71428571428572,169.85714285714286,290.0,286.3333333333333,265.14285714285717,207.0,296.0,290.6666666666667,254.42857142857142,178.78571428571428,237.0,227.66666666666666,203.28571428571428,142.07142857142858
2020-04-14,243.0,232.0,210.14285714285714,160.78571428571428,183.0,181.66666666666666,162.57142857142858,130.85714285714286,161.0,152.0,139.85714285714286,112.78571428571429,361.0,333.0,300.14285714285717,225.78571428571428,278.0,265.6666666666667,240.85714285714286,184.28571428571428,298.0,292.0,274.14285714285717,221.07142857142858,322.0,303.3333333333333,273.85714285714283,197.5,259.0,241.33333333333334,216.28571428571428,157.42857142857142
2020-04-15,264.0,245.66666666666666,223.28571428571428,174.28571428571428,193.0,186.0,170.57142857142858,139.42857142857142,169.0,159.66666666666666,147.85714285714286,119.64285714285714,389.0,358.6666666666667,320.85714285714283,246.71428571428572,311.0,283.6666666666667,257.0,200.57142857142858,313.0,300.3333333333333,284.42857142857144,235.42857142857142,361.0,326.3333333333333,294.14285714285717,218.57142857142858,293.0,263.0,232.71428571428572,174.71428571428572
2020-04-16,282.0,263.0,237.42857142857142,188.42857142857142,207.0,194.33333333333334,179.42857142857142,148.57142857142858,176.0,168.66666666666666,154.71428571428572,126.71428571428571,423.0,391.0,343.14285714285717,269.2142857142857,328.0,305.6666666666667,273.85714285714283,217.0,337.0,316.0,296.14285714285717,250.21428571428572,382.0,355.0,314.7142857142857,239.92857142857142,316.0,289.3333333333333,250.42857142857142,193.14285714285714
2020-04-17,309.0,285.0,252.71428571428572,203.35714285714286,215.0,205.0,188.57142857142858,157.35714285714286,205.0,183.33333333333334,164.14285714285714,135.71428571428572,459.0,423.6666666666667,367.57142857142856,292.35714285714283,350.0,329.6666666666667,290.85714285714283,233.28571428571428,353.0,334.3333333333333,308.57142857142856,264.42857142857144,402.0,381.6666666666667,334.14285714285717,261.2142857142857,339.0,316.0,270.0,211.92857142857142
2020-04-18,330.0,307.0,268.7142857142857,219.28571428571428,218.0,213.33333333333334,196.85714285714286,166.35714285714286,211.0,197.33333333333334,173.85714285714286,144.85714285714286,477.0,453.0,392.42857142857144,316.07142857142856,363.0,347.0,307.0,250.21428571428572,355.0,348.3333333333333,319.14285714285717,278.64285714285717,440.0,408.0,356.42857142857144,284.2857142857143,354.0,336.3333333333333,289.42857142857144,230.0
2020-04-19,344.0,327.6666666666667,286.0,235.35714285714286,225.0,219.33333333333334,203.28571428571428,174.78571428571428,226.0,214.0,185.28571428571428,154.64285714285714,499.0,478.3333333333333,419.14285714285717,339.7142857142857,383.0,365.3333333333333,325.0,267.85714285714283,366.0,358.0,330.2857142857143,291.42857142857144,454.0,432.0,379.57142857142856,306.85714285714283,376.0,356.3333333333333,310.57142857142856,249.14285714285714
2020-04-20,355.0,343.0,303.85714285714283,251.07142857142858,228.0,223.66666666666666,209.85714285714286,182.71428571428572,226.0,221.0,196.28571428571428,164.0,515.0,497.0,446.14285714285717,363.2857142857143,404.0,383.3333333333333,345.2857142857143,286.0,374.0,365.0,342.2857142857143,303.7142857142857,482.0,458.6666666666667,406.14285714285717,330.2857142857143,445.0,391.6666666666667,340.2857142857143,271.7857142857143
2020-04-21,359.0,352.6666666666667,320.42857142857144,265.2857142857143,234.0,229.0,217.14285714285714,189.85714285714286,226.0,226.0,205.57142857142858,172.71428571428572,543.0,519.0,472.14285714285717,386.14285714285717,429.0,405.3333333333333,366.85714285714283,303.85714285714283,387.0,375.6666666666667,355.0,314.57142857142856,492.0,476.0,430.42857142857144,352.14285714285717,458.0,426.3333333333333,368.7142857142857,292.5
2020-04-22,376.0,363.3333333333333,336.42857142857144,279.85714285714283,252.0,238.0,225.57142857142858,198.07142857142858,227.0,226.33333333333334,213.85714285714286,180.85714285714286,562.0,540.0,496.85714285714283,408.85714285714283,456.0,429.6666666666667,387.57142857142856,322.2857142857143,406.0,389.0,368.2857142857143,326.35714285714283,508.0,494.0,451.42857142857144,372.7857142857143,477.0,460.0,395.0,313.85714285714283
2020-04-23,403.0,379.3333333333333,353.7142857142857,295.57142857142856,252.0,246.0,232.0,205.71428571428572,252.0,235.0,224.71428571428572,189.71428571428572,595.0,566.6666666666666,521.4285714285714,432.2857142857143,488.0,457.6666666666667,410.42857142857144,342.14285714285717,409.0,400.6666666666667,378.57142857142856,337.35714285714283,522.0,507.3333333333333,471.42857142857144,393.07142857142856,498.0,477.6666666666667,421.0,335.7142857142857
2020-04-24,427.0,402.0,370.57142857142856,311.64285714285717,256.0,253.33333333333334,237.85714285714286,213.21428571428572,258.0,245.66666666666666,232.28571428571428,198.21428571428572,636.0,597.6666666666666,546.7142857142857,457.14285714285717,513.0,485.6666666666667,433.7142857142857,362.2857142857143,414.0,409.6666666666667,387.2857142857143,347.92857142857144,543.0,524.3333333333334,491.57142857142856,412.85714285714283,518.0,497.6666666666667,446.57142857142856,358.2857142857143
2020-04-25,444.0,424.6666666666667,386.85714285714283,327.7857142857143,261.0,256.3333333333333,244.0,220.42857142857142,268.0,259.3333333333333,240.42857142857142,207.14285714285714,663.0,631.3333333333334,573.2857142857143,482.85714285714283,552.0,517.6666666666666,460.7142857142857,383.85714285714283,419.0,414.0,396.42857142857144,357.7857142857143,570.0,545.0,510.14285714285717,433.2857142857143,530.0,515.3333333333334,471.7142857142857,380.57142857142856
