Max,Avg,Min
56.0,47.6,42.0
63.0,54.0,43.0
67.0,56.8,48.0
59.0,54.4,50.0
68.0,57.1,47.0
71.0,62.3,55.0
71.0,61.1,54.0
78.0,66.3,56.0
73.0,59.6,49.0
53.0,47.3,43.0
63.0,51.8,39.0
72.0,58.6,46.0
80.0,65.5,56.0
59.0,51.8,42.0
53.0,44.1,38.0
54.0,47.4,42.0
58.0,50.0,39.0
55.0,50.4,46.0
66.0,53.6,39.0
64.0,56.5,53.0
68.0,56.8,47.0
61.0,50.8,38.0
59.0,54.2,50.0
59.0,54.7,52.0
64.0,54.9,48.0
57.0,53.1,50.0
59.0,50.3,45.0
57.0,51.7,45.0
74.0,62.2,48.0
68.0,60.9,58.0
66.0,58.6,53.0
72.0,61.6,52.0
77.0,66.1,60.0
75.0,66.3,56.0
58.0,53.6,49.0
57.0,52.0,47.0
68.0,55.5,45.0
68.0,55.8,42.0
51.0,44.3,37.0
65.0,53.0,38.0
62.0,54.7,49.0
63.0,53.5,44.0
70.0,58.3,45.0
70.0,61.4,52.0
85.0,73.5,62.0
83.0,73.9,66.0
68.0,64.8,61.0
68.0,61.9,57.0
69.0,61.8,57.0
64.0,57.1,52.0
71.0,60.3,51.0
77.0,66.0,60.0
83.0,72.1,64.0
70.0,64.7,60.0
78.0,67.3,62.0
79.0,70.7,62.0
80.0,72.4,66.0
79.0,75.1,72.0
86.0,78.3,74.0
83.0,75.6,69.0
75.0,68.6,61.0
75.0,65.7,56.0
77.0,67.3,58.0
92.0,80.6,68.0
91.0,79.1,72.0
87.0,75.0,71.0
91.0,80.5,72.0
81.0,75.7,68.0
82.0,73.7,64.0
88.0,78.4,67.0
89.0,82.6,76.0
86.0,78.8,74.0
87.0,79.1,69.0
79.0,72.8,65.0
78.0,70.2,63.0
77.0,70.1,63.0
78.0,70.1,65.0
72.0,68.6,65.0
81.0,71.9,68.0
82.0,75.3,69.0
79.0,73.0,69.0
85.0,75.8,70.0
89.0,78.6,71.0
88.0,78.6,71.0
86.0,79.7,75.0
85.0,77.3,71.0
89.0,79.3,67.0
92.0,82.1,75.0
90.0,82.5,76.0
92.0,84.0,76.0
91.0,82.6,73.0
86.0,78.8,73.0
92.0,82.6,72.0
96.0,87.2,76.0
93.0,85.1,78.0
93.0,82.7,76.0
95.0,80.5,73.0
