Date,Ward_1_Cases,Ward_2_Cases,Ward_3_Cases,Ward_4_Cases,Ward_5_Cases,Ward_6_Cases,Ward_7_Cases,Ward_8_Cases
2020-03-31,65.0,60.0,70.0,85.0,76.0,101.0,60.0,44.0
2020-04-01,75.0,73.0,73.0,96.0,83.0,112.0,66.0,51.0
2020-04-02,84.0,79.0,77.0,108.0,98.0,130.0,83.0,58.0
2020-04-03,100.0,92.0,79.0,135.0,122.0,154.0,104.0,76.0
2020-04-04,107.0,92.0,83.0,145.0,126.0,156.0,117.0,101.0
2020-04-05,119.0,107.0,89.0,168.0,136.0,187.0,138.0,108.0
2020-04-06,135.0,117.0,95.0,185.0,150.0,202.0,154.0,128.0
2020-04-07,160.0,134.0,104.0,223.0,179.0,235.0,186.0,168.0
2020-04-08,172.0,137.0,113.0,244.0,198.0,241.0,219.0,178.0
2020-04-09,183.0,145.0,128.0,267.0,210.0,255.0,238.0,192.0
2020-04-10,202.0,151.0,139.0,288.0,231.0,266.0,266.0,202.0
2020-04-11,218.0,160.0,143.0,303.0,250.0,281.0,284.0,218.0
2020-04-12,223.0,180.0,146.0,312.0,257.0,288.0,292.0,228.0
2020-04-13,230.0,182.0,149.0,326.0,262.0,290.0,296.0,237.0
2020-04-14,243.0,183.0,161.0,361.0,278.0,298.0,322.0,259.0
2020-04-15,264.0,193.0,169.0,389.0,311.0,313.0,361.0,293.0
2020-04-16,282.0,207.0,176.0,423.0,328.0,337.0,382.0,316.0
2020-04-17,309.0,215.0,205.0,459.0,350.0,353.0,402.0,339.0
2020-04-18,330.0,218.0,211.0,477.0,363.0,355.0,440.0,354.0
2020-04-19,344.0,225.0,226.0,499.0,383.0,366.0,454.0,376.0
2020-04-20,355.0,228.0,226.0,515.0,404.0,374.0,482.0,445.0
2020-04-21,359.0,234.0,226.0,543.0,429.0,387.0,492.0,458.0
2020-04-22,376.0,252.0,227.0,562.0,456.0,406.0,508.0,477.0
2020-04-23,403.0,252.0,252.0,595.0,488.0,409.0,522.0,498.0
2020-04-24,427.0,256.0,258.0,636.0,513.0,414.0,543.0,518.0
2020-04-25,444.0,261.0,268.0,663.0,552.0,419.0,570.0,530.0
2020-04-26,450.0,261.0,268.0,681.0,571.0,419.0,578.0,535.0
2020-04-27,475.0,266.0,268.0,702.0,587.0,419.0,594.0,560.0
2020-04-28,503.0,284.0,270.0,727.0,622.0,433.0,630.0,597.0
2020-04-29,543.0,291.0,282.0,774.0,646.0,450.0,659.0,632.0
2020-04-30,593.0,317.0,294.0,849.0,699.0,468.0,701.0,677.0
2020-05-01,621.0,318.0,302.0,889.0,722.0,476.0,711.0,692.0
2020-05-02,649.0,325.0,311.0,931.0,768.0,489.0,751.0,713.0
2020-05-03,668.0,333.0,314.0,980.0,799.0,499.0,769.0,737.0
2020-05-04,694.0,345.0,317.0,1009.0,819.0,525.0,791.0,751.0
2020-05-05,710.0,352.0,326.0,1044.0,846.0,533.0,802.0,775.0
2020-05-06,746.0,357.0,332.0,1089.0,887.0,548.0,823.0,799.0
2020-05-07,774.0,372.0,339.0,1150.0,930.0,570.0,860.0,830.0
2020-05-08,809.0,377.0,343.0,1203.0,971.0,584.0,882.0,862.0
2020-05-09,835.0,383.0,347.0,1241.0,993.0,596.0,910.0,888.0
2020-05-10,851.0,392.0,350.0,1275.0,1008.0,602.0,930.0,899.0
2020-05-11,872.0,400.0,353.0,1298.0,1017.0,610.0,943.0,909.0
2020-05-12,880.0,403.0,357.0,1328.0,1032.0,616.0,960.0,925.0
2020-05-13,908.0,403.0,362.0,1377.0,1054.0,624.0,979.0,937.0
2020-05-14,924.0,408.0,364.0,1409.0,1070.0,635.0,989.0,977.0
2020-05-15,951.0,415.0,368.0,1450.0,1087.0,644.0,1016.0,1010.0
2020-05-16,962.0,419.0,374.0,1463.0,1111.0,646.0,1030.0,1015.0
2020-05-17,985.0,426.0,377.0,1497.0,1133.0,652.0,1058.0,1040.0
2020-05-18,1023.0,439.0,380.0,1528.0,1157.0,657.0,1080.0,1054.0
2020-05-19,1032.0,442.0,382.0,1569.0,1177.0,662.0,1091.0,1078.0
2020-05-20,1071.0,451.0,385.0,1642.0,1204.0,680.0,1134.0,1101.0
2020-05-21,1095.0,460.0,393.0,1657.0,1225.0,682.0,1147.0,1112.0
2020-05-22,1105.0,468.0,396.0,1666.0,1242.0,687.0,1159.0,1120.0
2020-05-23,1125.0,482.0,404.0,1707.0,1270.0,692.0,1168.0,1136.0
2020-05-24,1144.0,490.0,408.0,1737.0,1286.0,705.0,1180.0,1147.0
2020-05-25,1166.0,508.0,410.0,1759.0,1303.0,709.0,1194.0,1156.0
2020-05-26,1178.0,509.0,411.0,1771.0,1315.0,713.0,1204.0,1174.0
2020-05-27,1188.0,511.0,413.0,1785.0,1327.0,722.0,1219.0,1191.0
2020-05-28,1198.0,512.0,416.0,1795.0,1331.0,729.0,1224.0,1196.0
2020-05-29,1221.0,512.0,416.0,1828.0,1351.0,750.0,1269.0,1242.0
2020-05-30,1229.0,512.0,417.0,1840.0,1364.0,755.0,1285.0,1259.0
2020-05-31,1237.0,514.0,419.0,1846.0,1376.0,757.0,1296.0,1269.0
2020-06-01,1243.0,514.0,420.0,1852.0,1379.0,758.0,1298.0,1278.0
2020-06-02,1243.0,514.0,420.0,1852.0,1379.0,758.0,1298.0,1278.0
2020-06-03,1288.0,522.0,428.0,1913.0,1400.0,774.0,1317.0,1323.0
2020-06-04,1302.0,525.0,432.0,1926.0,1414.0,782.0,1325.0,1340.0
2020-06-05,1313.0,526.0,435.0,1943.0,1420.0,787.0,1335.0,1354.0
2020-06-06,1320.0,528.0,437.0,1955.0,1428.0,795.0,1345.0,1367.0
2020-06-07,1335.0,528.0,438.0,1964.0,1433.0,798.0,1351.0,1379.0
2020-06-08,1343.0,532.0,443.0,1984.0,1442.0,805.0,1363.0,1394.0
2020-06-09,1352.0,533.0,446.0,1999.0,1447.0,817.0,1371.0,1402.0
2020-06-10,1354.0,535.0,452.0,2009.0,1457.0,821.0,1375.0,1413.0
2020-06-11,1372.0,537.0,453.0,2019.0,1468.0,828.0,1383.0,1421.0
2020-06-12,1384.0,538.0,454.0,2031.0,1471.0,833.0,1395.0,1427.0
2020-06-13,1390.0,542.0,454.0,2047.0,1477.0,835.0,1407.0,1440.0
2020-06-14,1395.0,545.0,455.0,2052.0,1481.0,839.0,1409.0,1448.0
2020-06-15,1400.0,549.0,455.0,2064.0,1486.0,843.0,1413.0,1450.0
2020-06-16,1403.0,550.0,457.0,2072.0,1489.0,848.0,1415.0,1454.0
2020-06-17,1409.0,551.0,462.0,2078.0,1498.0,854.0,1423.0,1466.0
2020-06-18,1414.0,555.0,465.0,2091.0,1502.0,858.0,1432.0,1472.0
2020-06-19,1419.0,556.0,465.0,2100.0,1507.0,860.0,1435.0,1478.0
2020-06-20,1431.0,556.0,466.0,2108.0,1513.0,865.0,1436.0,1480.0
2020-06-21,1435.0,558.0,467.0,2113.0,1517.0,877.0,1439.0,1486.0
